,logFC,AveExpr,t,P.Value,adj.P.Val,B
CSTB,-0.222867026558409,12.8588542324939,-4.23282761193055,3.81673901651097e-05,9.57213912077355e-05,1.63232127340961
SPSB3,-0.218186041921243,12.0756113874735,-4.19159569842877,4.50062950605952e-05,0.000111109290930844,1.47656128896134
CD37,-0.247337487725982,12.5236698852176,-4.17870211046473,4.73755131389935e-05,0.000115158939630169,1.42810569812655
SURF6,-0.208539975297261,9.93568744499729,-4.13097485918727,5.72266667599845e-05,0.000136997171940569,1.24979107068646
RETN,0.954331454417049,8.79384165082259,4.05736165195828,7.63494201594172e-05,0.000180047886346088,0.978026421175569
TMF1,0.151815580880555,7.26170169039335,4.05166532475238,7.80596454998436e-05,0.000181373882190813,0.95716283317065
PARP1,-0.308093928667965,11.6579367212746,-4.00967605531483,9.18421000929454e-05,0.000210305098763556,0.804111692951875
TRAPPC6B,0.323027093540601,6.23487115924441,3.98065497702313,0.000102691690430794,0.000231666219219553,0.699094531346567
ORM2,0.558419686387994,6.42729868159805,3.97709639095862,0.00010410317445942,0.000231666219219553,0.686260432767821
CCDC6,-0.207388681579643,10.8445733326307,-3.96810429670879,0.000107752602375079,0.000236457099656424,0.653872417966343
ARHGEF1,-0.224616470482053,9.48964063034815,-3.93296869751905,0.000123214085726022,0.000266682541708377,0.527899846360503
CD74,-0.268356340881405,13.9612638483857,-3.91712459067045,0.000130856775869455,0.000279396899829377,0.47139655881972
CTSG,0.882594242324749,8.19425173720041,3.8938605519046,0.000142899932379572,0.000301042524212965,0.388774783450737
UBE2F,0.279568264622138,11.8361860494301,3.88075110868986,0.000150142896300181,0.000312139179150377,0.342396793717982
SCD,0.365400367297468,8.80359248606406,3.78916138002723,0.00021136943665688,0.000433719103789443,0.0220150849437255
MED14,-0.142871989749399,8.58961094446059,-3.75997274458059,0.000235413475244164,0.000476863193443307,-0.0787404886403591
HLA-DPA1,-0.269878141202336,14.0579538948103,-3.71248455290962,0.000280146156136139,0.000560292312272277,-0.241262396275975
HLA-DQA1,-0.400315275126057,12.5356253766265,-3.66479441988736,0.00033307777209037,0.000657828599878481,-0.402718608558501
SNURF,-0.156720198612559,8.41277268190415,-3.62378874371536,0.000386008628436155,0.000752955102381635,-0.540128202663085
MYB,-0.282167581840659,8.88420421282141,-3.4705417351428,0.000662560296735101,0.00126447975070242,-1.04194306342835
RPL36AL,0.244459637358377,13.0437442293565,3.46980652159276,0.000664252020938612,0.00126447975070242,-1.04430563410816
NOP14,-0.165170397175503,8.09289411860182,-3.42978070964987,0.000762713646497295,0.00143462804936396,-1.17227382258435
BIRC3,-0.268029993470407,11.2749065021825,-3.40602680396951,0.000827448738432671,0.00153808118438073,-1.24761071001727
NIPBL,0.251275257437015,7.52008908996095,3.35835162967788,0.000973186696797128,0.00178794765225519,-1.39744301984113
PPIG,0.235310815026371,6.86931204538513,3.30414566811929,0.00116788880405407,0.00212099346023613,-1.56556330795117
PLXDC1,-0.133654741101977,6.92029499537088,-3.2265305057459,0.00151054451631265,0.00271211401792499,-1.80211355076261
HOXA6,0.167507120038014,7.02755625676468,3.15759542333653,0.0018910476981738,0.00335714085743214,-2.00805525810402
CD24,-0.335844749194032,9.18650652155184,-3.04085212722599,0.0027436757251567,0.00481667516194176,-2.34781907025469
PPP1CA,-0.138199344278654,10.876535049774,-2.95674220192495,0.0035641176970044,0.00618824830908457,-2.585520313865
PEX6,-0.210341381465618,8.46398461737165,-2.9433709730862,0.00371359783934538,0.00637770063713662,-2.62275728509745
STAG3,0.231380216534374,6.65665941140691,2.82263344718867,0.00534770035971752,0.00908534039607922,-2.95209396337052
TWSG1,0.115240125050031,8.07122641045454,2.81409655952919,0.00548501000232605,0.00921948489752676,-2.97490745740225
CD8B,-0.201172159973574,6.87616120209957,-2.78655071954503,0.0059502454967102,0.0098961977734759,-3.04809142941068
FBXO7,0.498944125535264,10.3860485907278,2.72115022066603,0.00720183624429107,0.0118530221520624,-3.21922155626136
MYL5,-0.216276321763505,7.25750591451979,-2.69172243161687,0.0078391831982174,0.0127689788177149,-3.29501312805912
ROGDI,0.248930305213557,8.08987993643976,2.67583928414594,0.00820397436800596,0.0132268158178055,-3.33560698696195
PSMB2,-0.124393147408682,11.7698978426765,-2.56154224215155,0.0113138444216134,0.0180564385718678,-3.62121343509639
CDYL2,0.111914963082251,6.93646786734019,2.48872348287322,0.0138097406782384,0.0218193902716166,-3.79717210594261
TUBB1,0.293780670119861,12.2775164260566,2.41868783773003,0.0166615562893086,0.0260646128090174,-3.96196401442213
CYBA,0.13620496081984,14.7579781418653,2.36548218629977,0.0191651491875408,0.0296871918787396,-4.08422733793176
MS4A3,0.323074663882065,7.0621927740912,2.35185810568179,0.0198573510951716,0.0304607910003603,-4.11512643407113
USPL1,-0.201388207815812,9.44715640197149,-2.30830959546344,0.0222198364924524,0.0337570592866104,-4.212773650288
LGALS9,0.205383917068235,9.21631441706407,2.25062575320449,0.0257268021198855,0.0387127117613516,-4.33948118099528
HMBS,0.410990325623845,8.98398452930673,2.2398243102988,0.0264346771035372,0.0394026319090461,-4.36287266535213
CUL4B,0.111449750863513,8.07507861835229,2.16141958553885,0.0321007781182231,0.0474011489970023,-4.52948673956244
ADSS,0.152187098061422,9.87600194445433,2.13454531418273,0.0342711299240814,0.0501373937778228,-4.58530626422376
ZNF622,-0.0681220238352003,10.6379741262937,-2.0321021205865,0.0437430808700779,0.0634074016281863,-4.79201567689597
IRF2BP2,-0.0908290875550767,9.37913454570979,-2.00900032144453,0.0461635330388533,0.0663076201830802,-4.83729602531576
MGEA5,-0.117216548963983,12.8051284164855,-1.97521772305841,0.0499073514372979,0.0710392930368745,-4.90262350382016
LPAR3,0.0781044975482428,6.97865441045657,1.94972986670356,0.052899197280307,0.0741075661001745,-4.95121177200853
VSTM1,-0.272190100655346,7.97611452531986,-1.94888437983731,0.0530009808184792,0.0741075661001745,-4.95281322995747
ZNF787,0.0960080723336389,10.4029303042492,1.85897401773301,0.0648073378469391,0.0898206963141787,-5.11932242108701
UBAP2L,0.0953272071326019,10.2436309996817,1.82939709372112,0.0691406724631862,0.0949932717320297,-5.1724502922987
WDR4,-0.0747779882048888,7.18696649545451,-1.80207753525538,0.0733540502687524,0.0999132753660593,-5.22079653253543
RTEL1,-0.0672044935171978,6.80809153007851,-1.78281396010753,0.0764506343151074,0.103241027536641,-5.25446614611603
SH3BGRL3,0.119571528672014,13.5691701597178,1.74057061527474,0.0836184596369012,0.111963700191783,-5.32708136121337
TMEM101,-0.0671696463352073,10.0003348527319,-1.60118929913599,0.111243071558795,0.147700884926803,-5.55474385312272
TFF3,-0.238284502201079,7.10683819547807,-1.57636722275194,0.116851789517526,0.153854856198076,-5.59335874666259
PRB3,-0.0422359648603179,6.46585167128086,-1.5100692654812,0.132933629844221,0.173582756325512,-5.69362437202207
LRP3,-0.161101904547397,7.79093786811147,-1.49629774924663,0.136481659443035,0.176754935999996,-5.71392645327154
FAM65A,-0.0811476677829574,10.6344358857503,-1.3952294897448,0.164817065782258,0.21171623084225,-5.85737508812378
VPS11,-0.0560724360035655,8.36554705289164,-1.36657366956576,0.173613648273893,0.221217390542541,-5.89626591914436
ARPC4,-0.0594601439147017,12.3180098444966,-1.30076799685936,0.195147070062562,0.245340790639065,-5.98258726768954
BTN3A2,-0.0686346887858196,10.7727536330826,-1.29929272307627,0.195651516585583,0.245340790639065,-5.98447468562909
BAZ2A,0.0784877416021523,7.30355679114751,1.2614360492729,0.208927824047927,0.259925954327342,-6.03218920294194
ZNF695,0.0474527314068956,6.06838127856009,1.24022594094484,0.216648224970336,0.267425152697758,-6.05831763438901
ADPRH,0.0624226232087425,7.74669691073879,1.2059948137047,0.229541662649697,0.281144051927536,-6.09956903622432
NCOA3,0.0336452207232596,8.79584713439728,1.1770869131681,0.240851787963414,0.292727557678611,-6.1335220480813
LYL1,0.111534315486745,13.670580299432,1.13849758517285,0.256558985966735,0.303463256156748,-6.17758353218823
PRKAB1,0.0456717908046307,9.09488525431472,1.13760037067344,0.256932530374158,0.303463256156748,-6.17859078603284
EFS,0.0555318430768316,5.76801096942319,1.13743479137955,0.257001508929428,0.303463256156748,-6.17877658745294
TACC3,0.0712547563885999,10.3381638327297,1.13655659800724,0.257367571677242,0.303463256156748,-6.17976158917303
SUSD5,0.0628553787125982,7.31142704648745,1.07232415215047,0.285136441082409,0.333715242155708,-6.24977390416442
IWS1,-0.0452939493646817,9.68594236898589,-0.925665429362254,0.355968405573978,0.413551530005063,-6.39455861545161
MYO9B,0.0544782678589374,10.0942720269968,0.863614932276431,0.389049980284308,0.448685378722049,-6.44948473221816
PSMC1,0.0291742262385206,12.4004990034092,0.831707297313755,0.406773227660191,0.465725869350074,-6.47625917253687
JARID2,0.0528405187663786,10.5402221131958,0.818028259192216,0.414517870257657,0.471178586336042,-6.48743152971522
N4BP2L1,0.0599082621612919,8.98068532805825,0.779189700360082,0.436981318696962,0.493164631100857,-6.51815102888948
KIF6,0.0285615007654661,6.65172295176177,0.740663081569711,0.459947832661428,0.512282136026748,-6.5471584308912
HERC6,0.104325366212752,9.79341153270047,0.735628674293824,0.462998518306468,0.512282136026748,-6.55084102875809
MIR106A,0.0331264228622595,6.81994802976705,0.734559679786608,0.463647756024209,0.512282136026748,-6.55161977170765
ACTG1,-0.0277019732183664,14.7334052860673,-0.652167855036383,0.515198112511482,0.565286817894542,-6.60825339091974
HLA-DRB4,-0.109929036737378,10.6060331885635,-0.644237091478591,0.520314045487803,0.566962890945331,-6.61335162386333
KLRD1,-0.0741513202335742,10.874640052578,-0.532777527638366,0.594902607137931,0.6437987118342,-6.67843209249036
CD38,0.059123704812352,10.0365958355823,0.487634683344721,0.626454300911025,0.673331833632258,-6.70129602907227
EWSR1,-0.0264932381377168,10.3805094636546,-0.404717579464641,0.686207992170244,0.732573397046612,-6.73803492727364
NARS,-0.0256403841151407,10.9026096223785,-0.33611751225307,0.737208240058642,0.781737596840708,-6.76327887981109
ARHGEF7,0.0139308732002302,6.01507472600066,0.30620280858766,0.759835294999651,0.798776481671501,-6.77282530077207
TEX11,-0.0128703559693526,5.81766836340147,-0.301531925236351,0.763387650205042,0.798776481671501,-6.77423571462891
ACRC,0.0124390710627375,7.35070243935885,0.274852394874821,0.783772636528751,0.814711030075938,-6.7818766760267
SULT1A3,0.0144816747485373,8.49958698774063,0.265829339772334,0.790701683017266,0.816541607298876,-6.78430093976402
PALMD,0.008973575814398,6.25576487265345,0.256913507022662,0.797564828900145,0.818280798481967,-6.78661698604158
CLEC12A,-0.0283442611916937,10.6108924173521,-0.193747956003616,0.846610958546754,0.862996977099272,-6.80076423233382
ZNF653,0.0104694459185996,9.27478597655507,0.113704459687763,0.909609965763528,0.921271631991265,-6.81299674397489
RNASE3,0.0203547454441958,8.42052862468141,0.0928049226695097,0.92617084688388,0.932070024252567,-6.81514223421067
SOCS7,-0.000349623129104615,6.49524365526644,-0.0122381220289764,0.990250383000543,0.990250383000543,-6.81934940826683
